parameter_name,parameter_value,replica,seed,success,physical_time,biased_time,acceleration_factor,integration_steps,n_deposited_gaussians,W,sigma
sigma,0.0001536353072505182,4,3945068108,True,0.1871542801473493,0.187,1.000825027525932,187,9,0.3,0.0001536353072505182
sigma,0.0001536353072505182,5,1235683351,True,1.5338689773751364,1.532,1.0012199591221518,1532,76,0.3,0.0001536353072505182
sigma,0.0001536353072505182,6,412321501,True,0.6603100410620167,0.659,1.0019879227041224,659,32,0.3,0.0001536353072505182
sigma,0.0001536353072505182,7,490749979,True,0.16427549626421806,0.164,1.0016798552696222,164,8,0.3,0.0001536353072505182
sigma,0.0001536353072505182,8,4050526978,True,0.635158112419835,0.634,1.0018266757410645,634,31,0.3,0.0001536353072505182
sigma,0.0001536353072505182,9,4174740768,True,0.6187696719389686,0.618,1.0012454238494637,618,30,0.3,0.0001536353072505182
sigma,0.0002161734792448177,0,1947289550,True,1.1222072754088295,1.119,1.0028661978631184,1119,55,0.3,0.0002161734792448177
sigma,0.0002161734792448177,1,1698280991,True,2.4451236126100633,2.436,1.0037453253735893,2436,121,0.3,0.0002161734792448177
sigma,0.0002161734792448177,2,3047607536,True,0.6243640675861662,0.624,1.0005834416444972,624,31,0.3,0.0002161734792448177
sigma,0.0002161734792448177,3,1881147441,True,0.908285149407067,0.906,1.00252223996365,906,45,0.3,0.0002161734792448177
sigma,0.0002161734792448177,4,235026777,True,0.4919934364309127,0.491,1.0020232921199852,491,24,0.3,0.0002161734792448177
sigma,0.0002161734792448177,5,1505991198,True,0.9053697734083378,0.903,1.0026243337855347,903,45,0.3,0.0002161734792448177
sigma,0.0002161734792448177,6,2460052151,True,0.9622843676266928,0.96,1.0023795496111383,960,47,0.3,0.0002161734792448177
sigma,0.0002161734792448177,7,1620265053,True,0.9026933641752973,0.901,1.0018794274975553,901,45,0.3,0.0002161734792448177
sigma,0.0002161734792448177,8,2561996982,True,0.4605193256154821,0.459,1.0033100775936428,459,22,0.3,0.0002161734792448177
sigma,0.0002161734792448177,9,1550906325,True,0.5870112477963061,0.586,1.001725678833287,586,29,0.3,0.0002161734792448177
sigma,0.00030416818871335327,0,1835346365,True,1.639927508131687,1.6320000000000001,1.0048575417473573,1632,81,0.3,0.00030416818871335327
sigma,0.00030416818871335327,1,1082805567,True,0.3857410556805954,0.384,1.0045339991682172,384,19,0.3,0.00030416818871335327
sigma,0.00030416818871335327,2,2100299632,True,2.0546805431251443,2.045,1.004733761919386,2045,102,0.3,0.00030416818871335327
sigma,0.00030416818871335327,3,522816165,True,1.9171094261714896,1.9100000000000001,1.00372221265523,1910,95,0.3,0.00030416818871335327
sigma,0.00030416818871335327,4,1995614116,True,0.6280553733401668,0.627,1.0016832110688465,627,31,0.3,0.00030416818871335327
sigma,0.00030416818871335327,5,3198981811,True,0.9610368499108662,0.9580000000000001,1.003169989468545,958,47,0.3,0.00030416818871335327
sigma,0.00030416818871335327,6,695582459,True,1.589990786468224,1.584,1.0037820621642828,1584,79,0.3,0.00030416818871335327
sigma,0.00030416818871335327,7,3690426786,True,0.4855116971710658,0.484,1.0031233412625327,484,24,0.3,0.00030416818871335327
sigma,0.00030416818871335327,8,3342432088,True,0.7645227002969883,0.762,1.0033106303110082,762,38,0.3,0.00030416818871335327
sigma,0.00030416818871335327,9,547828152,True,0.679697118976194,0.677,1.003983927586697,677,33,0.3,0.00030416818871335327
sigma,0.000427981671703515,0,1663997,True,0.4992275954918992,0.497,1.0044820834847066,497,24,0.3,0.000427981671703515
sigma,0.000427981671703515,1,1080270909,True,1.0449310293351421,1.04,1.0047413743607136,1040,51,0.3,0.000427981671703515
sigma,0.000427981671703515,2,722470827,True,0.55486673374413,0.554,1.0015645013431949,554,27,0.3,0.000427981671703515
sigma,0.000427981671703515,3,3604972536,True,1.1770621620881119,1.172,1.0043192509284231,1172,58,0.3,0.000427981671703515
sigma,0.000427981671703515,4,283876252,True,0.4435947573994639,0.442,1.0036080484150767,442,22,0.3,0.000427981671703515
sigma,0.000427981671703515,5,59489338,True,0.8079707345428292,0.805,1.0036903534693529,805,40,0.3,0.000427981671703515
sigma,0.000427981671703515,6,4098707873,True,0.7402133086593919,0.738,1.0029990632241084,738,36,0.3,0.000427981671703515
sigma,0.000427981671703515,7,1930978682,True,1.0904798584096738,1.086,1.0041250998247455,1086,54,0.3,0.000427981671703515
sigma,0.000427981671703515,8,1739227192,True,1.65367569354084,1.6440000000000001,1.005885458358175,1644,82,0.3,0.000427981671703515
sigma,0.000427981671703515,9,1473470391,True,1.1853444777986188,1.18,1.0045292184734058,1180,58,0.3,0.000427981671703515
sigma,0.0006021941745089987,0,3925666343,True,0.5350427941148141,0.532,1.005719537809801,532,26,0.3,0.0006021941745089987
sigma,0.0006021941745089987,1,3430955197,True,1.1726819536228688,1.163,1.0083249816189757,1163,58,0.3,0.0006021941745089987
sigma,0.0006021941745089987,2,1573635602,True,0.6145706326040723,0.611,1.0058439158822787,611,30,0.3,0.0006021941745089987
sigma,0.0006021941745089987,3,2758802565,True,1.841054218744603,1.821,1.0110127505461852,1821,91,0.3,0.0006021941745089987
sigma,0.0006021941745089987,4,1019230568,True,0.3254357529763099,0.324,1.0044313363466355,324,16,0.3,0.0006021941745089987
sigma,0.0006021941745089987,5,336579975,True,1.5974852526774699,1.586,1.007241647337623,1586,79,0.3,0.0006021941745089987
sigma,0.0006021941745089987,6,2313131922,True,1.0766458571064883,1.068,1.0080953718225545,1068,53,0.3,0.0006021941745089987
sigma,0.0006021941745089987,7,1389791497,True,0.375074053848271,0.374,1.002871801733345,374,18,0.3,0.0006021941745089987
sigma,0.0006021941745089987,8,564956719,True,2.955877008093819,2.9170000000000003,1.0133277367479667,2917,145,0.3,0.0006021941745089987
sigma,0.0006021941745089987,9,1246897788,True,1.6729334472461064,1.657,1.0096158402209452,1657,82,0.3,0.0006021941745089987
sigma,0.0008473209200037714,0,2782059883,True,0.6916903223233631,0.6880000000000001,1.0053638405862835,688,34,0.3,0.0008473209200037714
sigma,0.0008473209200037714,1,2120837234,True,3.2426332823049373,3.173,1.021945566437106,3173,158,0.3,0.0008473209200037714
sigma,0.0008473209200037714,2,3270303287,True,1.0513915962494416,1.042,1.0090130482240323,1042,52,0.3,0.0008473209200037714
sigma,0.0008473209200037714,3,1958291962,True,1.7159361191396734,1.684,1.0189644412943428,1684,84,0.3,0.0008473209200037714
sigma,0.0008473209200037714,4,3767300522,True,3.285086677486191,3.194,1.0285180580733222,3194,159,0.3,0.0008473209200037714
sigma,0.0008473209200037714,5,223400932,True,2.0128698429894136,1.987,1.013019548560349,1987,99,0.3,0.0008473209200037714
sigma,0.0008473209200037714,6,194334892,True,2.2425822675115143,2.203,1.017967438725154,2203,110,0.3,0.0008473209200037714
sigma,0.0008473209200037714,7,1269452166,True,2.9298745924132246,2.879,1.017670924770137,2879,143,0.3,0.0008473209200037714
sigma,0.0008473209200037714,8,1980754913,True,1.1137968562508673,1.106,1.0070495987801693,1106,55,0.3,0.0008473209200037714
sigma,0.0008473209200037714,9,178738091,True,1.5414917270257344,1.5290000000000001,1.0081698672503168,1529,76,0.3,0.0008473209200037714
sigma,0.0011922279754058129,0,30140043,True,0.8177677338070543,0.807,1.0133429167373658,807,40,0.3,0.0011922279754058129
sigma,0.0011922279754058129,1,1017443708,True,1.6275083387639893,1.597,1.019103530847833,1597,79,0.3,0.0011922279754058129
sigma,0.0011922279754058129,2,1416553077,True,0.590878318118393,0.583,1.0135134101516174,583,29,0.3,0.0011922279754058129
sigma,0.0011922279754058129,3,39598666,True,1.9101893393552987,1.874,1.0193112803390068,1874,93,0.3,0.0011922279754058129
sigma,0.0011922279754058129,4,3591742917,True,2.553475345002584,2.48,1.0296271552429774,2480,123,0.3,0.0011922279754058129
sigma,0.0011922279754058129,5,2633736860,True,2.3382432315295745,2.282,1.0246464642986741,2282,114,0.3,0.0011922279754058129
sigma,0.0011922279754058129,6,1803271135,True,0.18153370146420142,0.181,1.002948626874041,181,9,0.3,0.0011922279754058129
sigma,0.0011922279754058129,7,3433291392,True,7.606912135189367,7.141,1.0652446625387715,7141,357,0.3,0.0011922279754058129
sigma,0.0011922279754058129,8,2712586022,True,2.6309508132373516,2.5420000000000003,1.034992452099666,2542,127,0.3,0.0011922279754058129
sigma,0.0011922279754058129,9,1620418257,True,2.612887431516741,2.5340000000000003,1.0311315830768513,2534,126,0.3,0.0011922279754058129
sigma,0.0016775315134835989,0,1934756590,True,0.599749699724412,0.593,1.0113822929585363,593,29,0.3,0.0016775315134835989
sigma,0.0016775315134835989,1,698759182,True,3.156059797816332,3.007,1.0495709337600039,3007,150,0.3,0.0016775315134835989
sigma,0.0016775315134835989,2,3024088267,True,0.9709063905472711,0.9550000000000001,1.016655906332221,955,47,0.3,0.0016775315134835989
sigma,0.0016775315134835989,3,1686180272,True,1.3815567144042484,1.342,1.0294759421790227,1342,67,0.3,0.0016775315134835989
