dimension,epsilon,delta_t,seed,escaped,escape_index,target_hit,outer_hit,escape_time,attempted_steps,rejected_steps
3,0.15730762877905569,0.0004949138014417839,2499552770,True,1,False,True,0.10355100171750632,210,0
3,0.15730762877905569,0.0004949138014417839,447186449,True,1,False,True,0.1407998242016713,285,20
3,0.15730762877905569,0.0004949138014417839,868357367,True,1,False,True,0.181596914685682,367,0
3,0.15730762877905569,0.0004949138014417839,3800829347,True,1,False,True,0.13846034711237815,280,11
3,0.15730762877905569,0.0004949138014417839,396104191,True,1,False,True,0.1482448374200742,300,0
3,0.15730762877905569,0.0004949138014417839,1389719669,True,1,False,True,0.25294828050507906,512,7
3,0.15730762877905569,0.0004949138014417839,1747466332,True,1,False,True,0.07404334624571236,150,3
3,0.15730762877905569,0.0004949138014417839,1295602120,True,0,True,False,0.010956416926114347,23,0
3,0.15730762877905569,0.0004949138014417839,618823171,True,0,True,False,0.01393198320821126,29,0
3,0.15730762877905569,0.0004949138014417839,3249049814,True,1,False,True,0.12242616426570758,248,0
3,0.15730762877905569,0.0004949138014417839,424979128,True,1,False,True,0.17714464282740783,358,8
3,0.15730762877905569,0.0004949138014417839,1946540857,True,1,False,True,0.1251097402660218,253,1
3,0.15730762877905569,0.0004949138014417839,2893969619,True,1,False,True,0.12203737835120286,247,0
3,0.15730762877905569,0.0004949138014417839,2518963350,True,1,False,True,0.1373179537300416,278,0
3,0.15730762877905569,0.0004949138014417839,1023536797,True,0,True,False,0.008750412467748507,18,0
3,0.15730762877905569,0.0004949138014417839,1505496055,True,1,False,True,0.12224311199284602,247,10
3,0.15730762877905569,0.0004949138014417839,1511611602,True,0,True,False,0.005619437729742349,12,0
3,0.15730762877905569,0.0004949138014417839,93962270,True,1,False,True,0.12634072534172172,256,0
3,0.15730762877905569,0.0004949138014417839,4076823238,True,1,False,True,0.09245931519225827,187,7
3,0.15730762877905569,0.0004949138014417839,1280352356,True,1,False,True,0.14040303890772074,284,0
3,0.15730762877905569,0.0004949138014417839,1280676816,True,1,False,True,0.11581506855553841,235,3
3,0.15730762877905569,0.0004949138014417839,2587449216,True,1,False,True,0.2877777928384448,582,2
3,0.15730762877905569,0.0004949138014417839,3544776812,True,0,True,False,0.19030429022064774,385,9
3,0.15730762877905569,0.0004949138014417839,209238037,True,1,False,True,0.07031347488716282,143,6
3,0.15730762877905569,0.0004949138014417839,255315546,True,1,False,True,0.08485226181667029,172,0
3,0.15730762877905569,0.0004949138014417839,3046167662,True,1,False,True,0.15090064592802793,305,2
3,0.15730762877905569,0.0004949138014417839,3316500272,True,0,True,False,0.06356911716405257,129,8
3,0.15730762877905569,0.0004949138014417839,114157304,True,0,True,False,0.006312713830602807,13,0
3,0.15730762877905569,0.0004949138014417839,1238920644,True,0,True,False,0.005015857625017763,11,0
3,0.15730762877905569,0.0004949138014417839,1768887428,True,1,False,True,0.3201772731084318,647,1
3,0.15730762877905569,0.0004949138014417839,3411629864,True,1,False,True,0.07177646921693462,146,7
3,0.15730762877905569,0.0004949138014417839,3459629232,True,0,True,False,0.10279087183970491,208,4
3,0.15730762877905569,0.0004949138014417839,4185991488,True,1,False,True,0.20047258333512963,406,11
3,0.15730762877905569,0.0004949138014417839,2748379709,True,1,False,True,0.11949941753859124,242,1
3,0.15730762877905569,0.0004949138014417839,3644478604,True,1,False,True,0.07252760591606376,147,0
3,0.15730762877905569,0.0004949138014417839,1338804936,True,1,False,True,0.42168643814613455,853,49
3,0.15730762877905569,0.0004949138014417839,3049088348,True,0,True,False,0.0073245608402904795,15,0
3,0.15730762877905569,0.0004949138014417839,3351436909,True,0,True,False,0.004358577821413269,9,0
3,0.15730762877905569,0.0004949138014417839,1120922244,True,1,False,True,0.1251694678521029,253,11
3,0.15730762877905569,0.0004949138014417839,990455492,True,1,False,True,0.2638679487821538,534,17
3,0.15730762877905569,0.0004949138014417839,2331136114,True,1,False,True,0.07360915811504866,149,0
3,0.15730762877905569,0.0004949138014417839,2323008752,True,0,True,False,0.10131115229939588,205,2
3,0.15730762877905569,0.0004949138014417839,2842759413,True,1,False,True,0.10474164248377561,212,0
3,0.15730762877905569,0.0004949138014417839,3985942966,True,1,False,True,0.08944859946704702,181,0
3,0.15730762877905569,0.0004949138014417839,1883700393,True,1,False,True,0.19379091317564273,392,0
3,0.15730762877905569,0.0004949138014417839,3754665269,True,0,True,False,0.1502064263126516,304,6
3,0.15730762877905569,0.0004949138014417839,2043830604,True,0,True,False,0.010989150623739032,23,0
3,0.15730762877905569,0.0004949138014417839,2131233696,True,0,True,False,0.01786747741584148,37,0
3,0.15730762877905569,0.0004949138014417839,3073710940,True,1,False,True,0.10684457329024234,216,1
3,0.15730762877905569,0.0004949138014417839,470626402,True,1,False,True,0.0598216532404201,121,0
3,0.15730762877905569,0.0004949138014417839,4176922158,True,1,False,True,0.08769492321916729,178,0
3,0.15730762877905569,0.0004949138014417839,1378071597,True,0,True,False,0.012138946145484449,25,0
3,0.15730762877905569,0.0004949138014417839,2220283365,True,1,False,True,0.14869858048913392,301,19
3,0.15730762877905569,0.0004949138014417839,162479333,True,1,False,True,0.12218601062126627,247,13
3,0.15730762877905569,0.0004949138014417839,2420632142,True,1,False,True,0.06680267322752978,135,12
3,0.15730762877905569,0.0004949138014417839,1869455374,True,1,False,True,0.12598296643754023,255,0
3,0.15730762877905569,0.0004949138014417839,1725578101,True,1,False,True,0.11133595032317825,225,8
3,0.15730762877905569,0.0004949138014417839,3110217152,True,1,False,True,0.20228912139726335,409,1
3,0.15730762877905569,0.0004949138014417839,139022752,True,0,True,False,0.006157208995704009,13,0
3,0.15730762877905569,0.0004949138014417839,3943103877,True,1,False,True,0.18144185721136374,367,8
3,0.15730762877905569,0.0004949138014417839,2321651962,True,1,False,True,0.16421677897428716,332,10
3,0.15730762877905569,0.0004949138014417839,1979562989,True,1,False,True,0.17053898968416706,345,11
3,0.15730762877905569,0.0004949138014417839,174487595,True,1,False,True,0.1000739715595359,203,4
3,0.15730762877905569,0.0004949138014417839,2494833148,True,1,False,True,0.15364489470776996,311,1
3,0.15730762877905569,0.0004949138014417839,3450634359,True,1,False,True,0.06889941466081029,140,1
3,0.15730762877905569,0.0004949138014417839,4145508777,True,1,False,True,0.0636048427059881,129,0
3,0.15730762877905569,0.0004949138014417839,672443556,True,0,True,False,0.039570562357255964,80,1
3,0.15730762877905569,0.0004949138014417839,2851772114,True,1,False,True,0.16230699502134482,328,1
3,0.15730762877905569,0.0004949138014417839,1397712663,True,1,False,True,0.2933245243421581,593,9
3,0.15730762877905569,0.0004949138014417839,3528814818,True,1,False,True,0.0642614348431431,130,10
3,0.15730762877905569,0.0004949138014417839,3572812713,True,0,True,False,0.07568902342544555,153,3
3,0.15730762877905569,0.0004949138014417839,2837202944,True,0,True,False,0.12338778507985591,250,24
3,0.15730762877905569,0.0004949138014417839,2612360044,True,0,True,False,0.032652257912847545,66,0
3,0.15730762877905569,0.0004949138014417839,4258782278,True,0,True,False,0.005376889889409587,11,0
3,0.15730762877905569,0.0004949138014417839,2553328862,True,1,False,True,0.08114581344955729,164,5
3,0.15730762877905569,0.0004949138014417839,3502892066,True,1,False,True,0.45543175026087135,921,25
3,0.15730762877905569,0.0004949138014417839,1326912368,True,1,False,True,0.28765164831482914,582,20
3,0.15730762877905569,0.0004949138014417839,4238281266,True,0,True,False,0.040342609134501585,82,1
3,0.15730762877905569,0.0004949138014417839,2842268039,True,0,True,False,0.030011421898435718,61,1
3,0.15730762877905569,0.0004949138014417839,3629174028,True,1,False,True,0.03785749859909446,77,0
3,0.15730762877905569,0.0004949138014417839,52648954,True,1,False,True,0.22507004631044214,455,0
